# Trajectories Requiring Chassis Movement
# Total: 519


## scene_2 (3 trajectories)
arc_left_push_083 (X: 3.000m, Score: 3.062m)
orbit_right_004 (X: 3.000m, Score: 3.061m)
orbit_left_025 (X: 3.000m, Score: 3.061m)
tracking_zigzag_022 (X: 3.000m, Score: 3.060m)
orbit_left_059 (X: 3.000m, Score: 3.058m)
arc_left_push_036 (X: 3.000m, Score: 3.058m)
orbit_left_034 (X: 2.952m, Score: 3.055m)
orbit_right_076 (X: 3.000m, Score: 3.055m)
orbit_left_045 (X: 3.000m, Score: 3.053m)
arc_left_push_068 (X: 2.998m, Score: 3.052m)
orbit_right_005 (X: 3.000m, Score: 3.051m)
orbit_right_067 (X: 3.000m, Score: 3.051m)
arc_left_push_010 (X: 3.000m, Score: 3.051m)
orbit_left_091 (X: 3.000m, Score: 3.050m)
orbit_right_074 (X: 3.000m, Score: 3.050m)
orbit_left_089 (X: 3.000m, Score: 3.049m)
orbit_left_072 (X: 3.000m, Score: 3.049m)
orbit_right_092 (X: 3.000m, Score: 3.048m)
orbit_left_058 (X: 3.000m, Score: 3.048m)
orbit_left_013 (X: 3.000m, Score: 3.048m)
orbit_left_022 (X: 3.000m, Score: 3.048m)
orbit_left_053 (X: 3.000m, Score: 3.047m)
arc_left_push_061 (X: 3.000m, Score: 3.047m)
arc_left_push_090 (X: 3.000m, Score: 3.047m)
tracking_zigzag_018 (X: 3.000m, Score: 3.047m)
orbit_left_096 (X: 3.000m, Score: 3.047m)
tracking_zigzag_081 (X: 3.000m, Score: 3.046m)
arc_left_push_021 (X: 3.000m, Score: 3.046m)
orbit_right_048 (X: 2.885m, Score: 3.046m)
arc_left_push_084 (X: 3.000m, Score: 3.045m)
orbit_left_020 (X: 3.000m, Score: 3.045m)
orbit_right_010 (X: 3.000m, Score: 3.045m)
orbit_left_073 (X: 3.000m, Score: 3.045m)
orbit_right_030 (X: 3.000m, Score: 3.044m)
orbit_right_057 (X: 3.000m, Score: 3.044m)
orbit_right_055 (X: 3.000m, Score: 3.043m)
orbit_right_078 (X: 2.973m, Score: 3.043m)
orbit_right_028 (X: 3.000m, Score: 3.042m)
tracking_zigzag_062 (X: 3.000m, Score: 3.042m)
orbit_right_023 (X: 3.000m, Score: 3.041m)
orbit_left_064 (X: 2.990m, Score: 3.040m)
orbit_left_074 (X: 3.000m, Score: 3.039m)
tracking_zigzag_058 (X: 3.000m, Score: 3.039m)
tracking_zigzag_078 (X: 3.000m, Score: 3.038m)
orbit_left_040 (X: 3.000m, Score: 3.038m)
orbit_left_029 (X: 3.000m, Score: 3.037m)
orbit_left_039 (X: 3.000m, Score: 3.036m)
orbit_left_027 (X: 3.000m, Score: 3.036m)
orbit_left_005 (X: 3.000m, Score: 3.035m)
tracking_zigzag_002 (X: 3.000m, Score: 3.035m)
tracking_zigzag_039 (X: 3.000m, Score: 3.035m)
tracking_zigzag_030 (X: 2.924m, Score: 3.033m)
arc_left_push_015 (X: 3.000m, Score: 3.033m)
arc_left_push_002 (X: 2.972m, Score: 3.030m)
arc_left_push_048 (X: 3.000m, Score: 3.030m)
arc_left_push_087 (X: 3.000m, Score: 3.030m)
tracking_zigzag_004 (X: 3.000m, Score: 3.029m)
tracking_zigzag_031 (X: 3.000m, Score: 3.028m)
arc_left_push_088 (X: 3.000m, Score: 3.028m)
tracking_zigzag_097 (X: 3.000m, Score: 3.025m)
orbit_right_084 (X: 2.940m, Score: 3.025m)
orbit_left_056 (X: 2.922m, Score: 3.025m)
orbit_right_082 (X: 3.000m, Score: 3.024m)
orbit_left_078 (X: 2.854m, Score: 3.024m)
tracking_zigzag_003 (X: 2.954m, Score: 3.024m)
orbit_left_080 (X: 3.000m, Score: 3.024m)
arc_left_push_037 (X: 3.000m, Score: 3.023m)
orbit_right_068 (X: 3.000m, Score: 3.023m)
tracking_zigzag_044 (X: 3.000m, Score: 3.022m)
arc_left_push_011 (X: 2.947m, Score: 3.021m)
orbit_left_003 (X: 3.000m, Score: 3.020m)
orbit_right_049 (X: 3.000m, Score: 3.020m)
dolly_push_in_032 (X: 3.000m, Score: 3.020m)
tracking_zigzag_017 (X: 3.000m, Score: 3.019m)
dolly_push_in_043 (X: 3.000m, Score: 3.018m)
tracking_zigzag_040 (X: 3.000m, Score: 3.017m)
tracking_zigzag_012 (X: 2.987m, Score: 3.015m)
dolly_push_in_044 (X: 3.000m, Score: 3.014m)
tracking_zigzag_080 (X: 3.000m, Score: 3.014m)
arc_left_push_062 (X: 3.000m, Score: 3.013m)
arc_left_push_099 (X: 3.000m, Score: 3.013m)
orbit_left_055 (X: 3.000m, Score: 3.013m)
arc_left_push_096 (X: 3.000m, Score: 3.013m)
tracking_zigzag_000 (X: 3.000m, Score: 3.012m)
tracking_zigzag_076 (X: 3.000m, Score: 3.012m)
tracking_zigzag_055 (X: 3.000m, Score: 3.012m)
dolly_push_in_013 (X: 3.000m, Score: 3.011m)
dolly_push_in_066 (X: 3.000m, Score: 3.010m)
dolly_push_in_019 (X: 3.000m, Score: 3.009m)
tracking_zigzag_026 (X: 3.000m, Score: 3.009m)
arc_left_push_041 (X: 3.000m, Score: 3.008m)
tracking_zigzag_070 (X: 3.000m, Score: 3.008m)
dolly_push_in_042 (X: 3.000m, Score: 3.007m)
dolly_push_in_081 (X: 3.000m, Score: 3.007m)
tracking_zigzag_041 (X: 3.000m, Score: 3.006m)
tracking_zigzag_059 (X: 3.000m, Score: 3.006m)
arc_left_push_092 (X: 2.950m, Score: 3.006m)
arc_left_push_031 (X: 3.000m, Score: 3.006m)
dolly_push_in_059 (X: 3.000m, Score: 3.006m)
dolly_push_in_045 (X: 3.000m, Score: 3.006m)
dolly_push_in_006 (X: 3.000m, Score: 3.005m)
