episode,env,total_reward,length
0,0,-90234.92059081793,399
1,1,-67970.65436965227,399
2,2,-171839.61613988876,399
3,3,-62127.06007218361,399
4,4,-78557.39434015751,399
5,5,-101846.34244275093,399
6,6,-49775.35113662481,399
7,7,-168980.8604235649,399
8,8,-51771.32053992152,399
9,9,-85533.18577337265,399
10,10,-144925.0597732067,399
11,11,-60283.83957922459,399
12,12,-119252.8118519783,399
13,13,-54828.790236115456,399
14,14,-56353.300174713135,399
15,15,-60275.22852909565,399
16,0,-144732.18152809143,399
17,1,-32486.74307358265,399
18,2,-51068.11053943634,399
19,3,-74873.52217674255,399
20,4,-84103.09750771523,399
21,5,-138458.28280830383,399
22,6,-181211.31198120117,399
23,7,-133988.24057769775,399
24,8,-85076.65984010696,399
25,9,-45473.67034173012,399
26,10,-71736.95504760742,399
27,11,-204844.84636306763,399
28,12,-148188.86535072327,399
29,13,-49625.55554163456,399
30,14,-47847.27225083113,399
31,15,-58084.51316553354,399
32,0,-48577.460012316704,399
33,1,-174465.21675682068,399
34,2,-141670.5435218811,399
35,3,-86904.74968135357,399
36,4,-163445.25122261047,399
37,5,-74321.88813781738,399
38,6,-66493.03149032593,399
39,7,-56884.18406486511,399
40,8,-154562.860332489,399
41,9,-175129.5284690857,399
42,10,-72607.64863455296,399
43,11,-145533.90537452698,399
44,12,-168021.94509506226,399
45,13,-46480.45758330822,399
46,14,-127372.28052520752,399
47,15,-54248.34627151489,399
48,0,-55909.522773742676,399
49,1,-52127.64271020889,399
