joint_0_pos,joint_1_pos,joint_2_pos,joint_3_pos,joint_4_pos,joint_5_pos,joint_6_pos,joint_7_pos,joint_8_pos,joint_0_vel,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,joint_7_vel,joint_8_vel
4.3085023e-05,8.223906e-05,-0.00040215638,0.07474421,0.07980022,-0.15983102,-0.16179726,0.046131305,-0.07765063,-6.3383566e-05,0.00048807287,-0.0033357649,1.5500554,1.5990772,-3.996772,-2.514854,0.71136963,-1.1985505
0.00078645704,0.0002340212,-0.0005212758,0.73092747,0.357562,-1.5373088,-0.23315047,-0.0333528,-0.16838609,-0.0017374214,0.010301492,0.0018151081,1.3687274,0.65655863,-0.076572284,0.46334386,0.5904766,0.048110534
5.848038e-05,0.0005843537,0.0001391006,1.2923965,0.56976974,-1.6641397,-0.009007147,-0.10048359,-0.19367805,2.915405e-05,0.0051737805,0.00030479595,0.8605022,0.45726484,0.17706195,-0.0091505945,0.35035172,0.1454268
2.0281415e-05,0.00014851199,-1.23614445e-05,1.7349014,0.60704184,-1.6613507,0.044237196,-0.014327593,-0.18051171,-0.00057477946,0.0066042277,-0.0010066567,0.98918784,0.18499619,0.08589781,0.20093128,-0.35453668,0.6666301
-8.087625e-06,2.5521222e-05,4.810081e-05,1.993474,0.6587303,-1.6549776,-0.04374876,0.027371798,-0.23225407,0.0003301248,-5.375361e-05,-0.0015313637,0.50405943,-0.00034867227,0.3054792,-0.20721488,0.2652286,-0.05461392
7.35333e-05,-0.00021250514,-1.927913e-05,2.161844,0.6699424,-1.618342,-0.049317062,0.0678434,-0.24476737,0.00056550483,0.00092291925,-0.0009117734,0.32202876,-0.12779848,-0.03758468,0.38013917,0.45434892,0.13465992
-8.939655e-05,0.00011191945,5.942463e-05,2.290247,0.7069448,-1.6078224,-0.06002833,0.09987811,-0.22469833,0.0005053308,-0.0020063492,0.000583183,-0.050888844,0.1928277,-0.060609534,-0.07882717,-0.12686136,0.046807997
-5.234251e-06,-0.00014893903,-4.739975e-05,2.295022,0.7662989,-1.5729828,-0.05042817,0.1585244,-0.2102633,7.711214e-05,-0.001542791,0.0006896884,0.0055872165,0.0015617982,-0.00987215,-0.4114794,0.026656944,0.17241275
-0.000109860004,0.00018629158,-3.4859644e-05,2.3506558,0.83272237,-1.5791337,-0.07465489,0.14204758,-0.24795054,0.0011855979,-0.0028128684,0.0007427109,-0.01828558,0.23516554,0.11637962,0.21460135,0.33803546,-0.23785825
6.432383e-06,-1.3719829e-05,-0.00010729899,2.4034138,0.79460776,-1.6016129,-0.08828891,0.13846537,-0.2123403,-0.0004503243,0.0054170364,0.00069136696,0.11672822,0.07398835,-0.14365564,-0.1482841,0.28364646,0.17260987
