ee_pos_error_x,ee_pos_error_y,ee_pos_error_z,ee_pos_error_norm,ee_ori_error_rad,ee_ori_error_deg,joint_0_pos,joint_1_pos,joint_2_pos,joint_3_pos,joint_4_pos,joint_5_pos,joint_6_pos,joint_7_pos,joint_8_pos,joint_0_vel,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,joint_7_vel,joint_8_vel
-0.013744442,0.21842492,-0.076064475,0.2317047,1.3475928,77.21138,4.1254694e-05,7.000599e-05,-0.00041329174,0.07719278,0.079820484,-0.15976012,-0.16389304,0.045829408,-0.07778762,-6.1207735e-05,0.00038505002,-0.003412018,1.6000004,1.5990634,-3.9967425,-2.5474257,0.70675147,-1.200668
-0.52799845,0.39723387,-0.24478734,0.709055,1.897495,108.718445,0.00084196974,0.00038643295,-0.0005517828,0.7396004,0.3717038,-1.5094125,-0.24609235,-0.036830124,-0.16491136,-0.0026777452,0.011250017,0.0019063422,1.4612052,0.7888856,0.076801,0.23507373,0.60190856,0.0632247
-0.6287919,0.42648113,-0.26981255,0.82559335,2.4998279,143.22958,4.6515128e-05,0.0005196958,0.00013290311,1.330323,0.5473001,-1.6270821,-0.0006872816,-0.06994263,-0.19778669,-0.0007001541,0.0015031346,-0.0010121474,0.9970286,0.21700658,0.2494715,-0.34762612,0.23799026,-0.018714022
-0.6793679,0.4024732,-0.2391951,0.85379547,2.6899536,154.12297,-4.7629e-05,-1.6743579e-06,9.43925e-05,1.7277635,0.6137066,-1.6476091,0.018291842,-0.03517758,-0.22664803,0.00043982017,-0.01047653,-0.0007919625,0.7821315,-0.14906356,-0.026166424,0.19381239,-0.17943965,-0.06280752
-0.6856108,0.32635376,-0.21849985,0.8325163,2.8606894,163.90543,-5.6678255e-07,-1.7662867e-05,4.193452e-05,2.0578232,0.6209379,-1.6402843,-0.025204591,0.041058436,-0.20528981,-7.984869e-05,-0.0010773271,-0.0013395597,0.603797,0.008341663,-0.026018992,-0.03892216,-0.20280638,-0.15645695
-0.6803207,0.26581007,-0.17063214,0.81473863,2.8670883,164.27203,-8.0081736e-05,0.00011301765,9.892856e-06,2.231041,0.68936455,-1.6143804,-0.062315874,0.07776133,-0.21184503,0.0013561966,-0.0019398411,0.0003877433,0.15247566,0.2183157,-0.14374399,-0.008121014,0.23154077,0.14213262
-0.66784376,0.25952244,-0.1530602,0.83134854,2.866118,164.21646,3.1594063e-05,3.718806e-05,-8.048111e-06,2.2820811,0.7241435,-1.592582,-0.07334763,0.10338019,-0.24333808,0.0009724045,-0.0022955593,-0.0008877666,-0.05357343,0.14180958,-0.29339662,-0.6135778,0.1394935,-0.0692278
-0.6964036,0.30817568,-0.13825709,0.89974034,2.8520417,163.40994,0.00012662019,-0.000114902796,-9.65978e-05,2.3521357,0.7302129,-1.5838785,-0.041113377,0.11639639,-0.21947613,-0.00031082577,-0.002282354,0.00063207565,0.15724424,-0.15036456,-0.0067139305,0.31232435,-0.20692986,0.19109064
-0.7370974,0.33537984,-0.12518844,0.9724797,2.8389428,162.65942,6.0183535e-05,-6.467288e-05,-6.5396605e-05,2.387275,0.75073797,-1.5772948,-0.13055195,0.1170654,-0.2225789,0.00022687932,-0.0022388762,0.0009695395,0.02616775,-0.012565196,-0.027013533,-0.32112038,0.024402447,0.33084196
-0.78050256,0.3551505,-0.117857814,1.0419476,2.8193684,161.5379,0.00031590066,-0.00039252185,-4.939517e-05,2.3558064,0.73992944,-1.5628381,-0.13114125,0.13091102,-0.2601256,-0.0016651382,-0.0050174184,-0.0008375539,-0.43731657,-0.52235657,0.037956372,0.029400915,-0.011229053,-0.49579245
-0.78292716,0.3500451,-0.117143266,1.10269,2.7671957,158.54861,1.185908e-05,7.0120754e-05,-2.1099335e-05,2.37611,0.7263806,-1.5579548,-0.12758201,0.078945935,-0.20757025,-0.00058814534,0.00036521605,-0.00033831294,-0.1865237,0.023891084,0.088749416,0.062195007,-0.6676985,0.3557263
-0.8161664,0.3085448,-0.11870512,1.151963,2.8055701,160.74731,-6.817973e-05,0.00015306199,-0.00014544866,2.4193401,0.71868473,-1.5572501,-0.113092996,0.08891505,-0.20605975,0.00015107625,0.003905965,0.0005848874,0.2185605,0.11010959,0.17225899,-0.056229003,-0.11756626,0.05633682
-0.87420565,0.31221467,-0.108686954,1.2433392,2.7462895,157.35078,-3.376048e-05,0.00022077744,-3.0578827e-05,2.4101415,0.7321294,-1.5457065,-0.08331772,0.091998324,-0.2200401,0.00017288246,0.0023968744,0.0015090504,-0.13566984,0.21213679,0.059114605,-0.17659931,0.22881882,-0.29750928
-0.92356324,0.33215845,-0.11850665,1.325119,2.7809699,159.33783,-7.3474235e-05,9.0798196e-05,-2.227148e-05,2.454477,0.67250276,-1.487911,-0.12040495,0.047158346,-0.15868554,2.891291e-06,0.001237152,0.0006662975,0.03193126,0.04932195,0.13628665,-0.98424995,-0.061153963,0.1602588
-0.96221155,0.30602902,-0.11328602,1.3910503,2.707911,155.15187,6.452293e-05,-3.742641e-05,2.2849732e-05,2.4382057,0.6904992,-1.536227,-0.14824903,-0.010911664,-0.19596243,-0.0009985184,-0.00044753758,0.0007206043,-0.2902322,-6.920844e-05,-0.20813254,0.30429766,-0.10008925,0.07368468
-0.99732363,0.24761032,-0.108536,1.4368743,2.7379742,156.87434,-0.00032587344,0.00044505924,-0.00011855866,2.4418426,0.6948992,-1.497457,-0.1546607,-0.017466031,-0.20318961,0.0009840443,0.006515026,0.00044432477,0.23130547,0.57072484,0.17582047,0.7007084,-0.13510466,0.3712753
-1.0884755,0.23165469,-0.09102884,1.5282013,2.6617718,152.50829,6.7365516e-05,-4.90877e-05,-0.00012901516,2.4604921,0.74455106,-1.456904,-0.07878774,-0.024707168,-0.20733643,0.0018217185,-0.0046564834,-0.00063409127,0.22771542,-0.14708465,0.21587166,0.7330109,-0.06652632,-0.2954751
-1.2081435,0.1864192,-0.10054822,1.6053092,2.7126348,155.42252,-2.733041e-05,0.00013157142,-5.5324974e-05,2.4562168,0.74655104,-1.444729,-0.061606936,0.018100949,-0.20930411,0.0001597249,0.0015712441,-0.0012144686,0.07138709,0.14202341,0.02690538,0.23280635,-0.208123,0.1394727
