episode,env,total_reward,length
0,0,-1919.47819198668,399
1,1,-4015.0346818566322,399
2,2,-8896.399878501892,399
3,3,-1089.328265964985,399
4,4,-5024.646966457367,399
5,5,-4817.726010560989,399
6,6,-5642.822447896004,399
7,7,-2463.0239695310593,399
8,8,-5739.373776078224,399
9,9,-3123.2520349025726,399
10,10,-9203.177535176277,399
11,11,-366.3482689857483,399
12,12,-9025.710287868977,399
13,13,793.8577594161034,399
14,14,-20233.00705075264,399
15,15,-19508.733737289906,399
16,16,-18492.29166251421,399
17,17,7092.066260069609,399
18,18,-10184.609998703003,399
19,19,-2639.0147640407085,399
20,20,-1361.988594174385,399
21,21,-3964.599240243435,399
22,22,-2669.991532564163,399
23,23,1417.1503942012787,399
24,24,2109.9113908410072,399
25,25,6025.513516664505,399
26,26,1203.5995824337006,399
27,27,-563.2267188429832,399
28,28,-13263.849447727203,399
29,29,2442.085871398449,399
30,30,-15191.97573980689,399
31,31,-16095.261018030345,399
32,32,-10552.85653245449,399
33,33,-8583.314416214824,399
34,34,-7829.115958273411,399
35,35,4548.547801017761,399
36,36,-2825.0211720466614,399
37,37,-20677.09270119667,399
38,38,-15735.464032232761,399
39,39,705.829833984375,399
40,40,-5476.41046410799,399
41,41,-16180.92796304822,399
42,42,-14554.975452244282,399
43,43,-6394.0899713635445,399
44,44,-3083.274449110031,399
45,45,-17184.810242772102,399
46,46,-1004.2847275733948,399
47,47,-714.5478360652924,399
48,48,-12424.495204418898,399
49,49,-16083.426611602306,399
50,50,-6232.756489217281,399
51,51,671.4334335327148,399
52,52,872.1925578415394,399
53,53,-16873.53780823946,399
54,54,-16008.379739657044,399
55,55,-2119.3999688625336,399
56,56,-3938.605825662613,399
57,57,-12394.753944218159,399
58,58,-6290.439539372921,399
59,59,-17273.989520393312,399
60,60,2053.809234917164,399
61,61,-4081.1843403577805,399
62,62,-7504.17480301857,399
63,63,-17305.44235998392,399
64,0,-2201.68465423584,399
65,1,-18136.64968854189,399
66,2,-2810.2211705446243,399
67,3,10535.352377653122,399
68,4,6491.539067268372,399
69,5,-13386.810153067112,399
70,6,3551.601543903351,399
71,7,-14234.458986312151,399
72,8,-5967.495213389397,399
73,9,-16298.326676368713,399
74,10,-1525.1661609113216,399
75,11,-4458.745201706886,399
76,12,-7634.834472775459,399
77,13,-1492.581741631031,399
78,14,-5606.194097042084,399
79,15,-6815.249643266201,399
80,16,-4421.2976623773575,399
81,17,-16190.802904844284,399
82,18,-2395.286407291889,399
83,19,-3188.7209486067295,399
84,20,1870.6330087780952,399
85,21,27.695930182933807,399
86,22,-17314.394523859024,399
87,23,-7322.250205755234,399
88,24,-6081.116115927696,399
89,25,-101871.72762948275,399
90,26,-3106.407483816147,399
91,27,-7036.383312284946,399
92,28,-6728.737207591534,399
93,29,-6799.888385206461,399
94,30,-12960.809256494045,399
95,31,-20570.003557428718,399
96,32,-2319.2258805036545,399
97,33,-4168.584643483162,399
98,34,-5002.730059877038,399
99,35,4576.391849756241,399
100,36,-2261.598145008087,399
101,37,-12805.070138275623,399
102,38,-1184.9125763177872,399
103,39,-4559.560725927353,399
104,40,8437.015740573406,399
105,41,-8068.667381107807,399
106,42,-18535.117137551308,399
107,43,-11481.8960968256,399
108,44,-2860.4856538772583,399
109,45,-5182.285078376532,399
110,46,-7749.130658864975,399
111,47,-4350.615744531155,399
112,48,-17203.58175331354,399
113,49,-4573.290167689323,399
114,50,2759.0976417660713,399
115,51,-5904.57054156065,399
116,52,-6877.57029466331,399
117,53,-7520.965033710003,399
118,54,-4681.780307769775,399
119,55,-3737.8355694413185,399
120,56,-11484.368852157146,399
121,57,1080.8228506445885,399
122,58,-8758.034547179937,399
123,59,-3521.7572925686836,399
124,60,-3123.7437204122543,399
125,61,-5059.317441940308,399
126,62,1323.235734090209,399
127,63,-35.80334258079529,399
128,0,-17865.28191447258,399
129,1,114.59219133853912,399
130,2,-6916.259025812149,399
131,3,-41.122280701994896,399
132,4,197.9706667661667,399
133,5,12.382648408412933,399
134,6,-15020.243115901947,399
135,7,1794.2495556175709,399
