ee_pos_error_x,ee_pos_error_y,ee_pos_error_z,ee_pos_error_norm,ee_ori_error_rad,ee_ori_error_deg,joint_0_pos,joint_1_pos,joint_2_pos,joint_3_pos,joint_4_pos,joint_5_pos,joint_6_pos,joint_7_pos,joint_8_pos,joint_0_vel,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,joint_7_vel,joint_8_vel,base_vel_x,base_vel_y,base_ang_vel
-0.0029786676,0.20559779,-0.07887258,0.22023344,1.572717,90.11004,2.2232569e-05,3.0608535e-05,-0.00035410462,0.073668554,0.079429485,-0.15920077,-0.015545618,-0.0069509447,0.00026773426,1.4342635e-05,0.0019653162,-0.00066824455,1.3832986,1.5999435,-3.999978,-0.2389139,-0.10950625,0.004141459,0.057264328,-0.0056745177,0.50595844
-0.44868934,-0.025460677,-0.084003374,0.45988297,1.7273357,98.96904,0.0005585269,0.00025688368,-7.264802e-05,0.08917397,0.8732276,-1.6771504,-0.059290074,-0.0002713463,-0.11864457,-0.0011114844,-0.0015065483,-0.0011193146,-0.057355866,1.5749016,-0.582248,-0.083335966,-0.25948554,-0.7840154,0.028977176,0.0057490384,0.44937593
-0.41373742,0.17536369,-0.09896909,0.48004657,1.402694,80.36844,-0.0004894627,-0.00027048175,0.00027076888,-0.056257535,1.5052085,-1.6505449,-0.096402094,-0.044168662,-0.21861413,-0.0018969402,0.0028643557,-0.0007357291,-0.428544,0.439693,-0.18990144,0.06071025,0.33281273,0.111191355,0.08485987,0.03807859,0.42364883
-0.4006481,-0.05124082,-0.09061221,0.46983743,1.5331668,87.84398,-0.00018301085,0.000101059886,1.1241307e-05,-0.022261707,1.5438173,-1.713121,-0.16663542,-0.050357096,-0.1315186,0.00058973476,-0.00029103737,-2.0238956e-05,0.13446715,0.016358482,-0.050093748,0.07530834,-0.024191033,0.087159544,0.10281196,0.08026969,0.476848
-0.33301562,-0.29471102,-0.09094142,0.5254966,1.670007,95.68435,-3.068902e-05,0.00011949125,-5.1847783e-05,-0.028630171,1.5540401,-1.7213392,-0.1678119,-0.045141637,-0.11902753,0.00018457227,-0.00059623964,0.000164506,0.13752022,0.0076473067,0.01681405,0.12656063,0.00656572,0.07162368,0.10593754,0.13210833,0.47528684
-0.1974951,-0.5423935,-0.0811496,0.6498679,1.8331356,105.03093,8.703604e-06,5.0578274e-05,-3.956916e-05,-0.0059185717,1.5574689,-1.7256024,-0.14426732,-0.045029026,-0.100154206,-0.00012644322,-6.404618e-06,6.187189e-05,0.1067103,0.027630555,-0.011143597,0.08755014,-0.009743309,0.045587827,0.08220659,0.17236346,0.46217412
-0.0042855367,-0.76212686,-0.06885484,0.85483956,1.9768246,113.263695,-5.2115865e-08,3.766807e-06,-5.840535e-06,0.02121727,1.5495892,-1.7151418,-0.120450616,-0.031518206,-0.087035134,-1.9394793e-07,0.00013157364,2.732905e-05,0.052527025,-0.02865649,0.04831877,0.12513599,-0.03391152,0.05236914,0.041934676,0.15110391,0.4323274
0.21163122,-0.9100323,-0.06612185,1.0707415,2.1254277,121.77804,1.5746416e-05,8.137194e-05,-5.957715e-05,0.020605214,1.5575904,-1.7113147,-0.09725645,-0.031010106,-0.0502613,-0.00029625217,9.667056e-07,6.824226e-05,0.12631497,0.033464495,-0.0038984914,0.13992174,0.05274414,0.08138317,0.012490877,0.09051911,0.35201955
0.42306927,-1.0000876,-0.050903656,1.2657899,2.2279308,127.65102,1.7397651e-06,-4.0777544e-05,2.03539e-05,0.052565917,1.5652399,-1.7078688,-0.05008453,-0.011185819,-0.0154732885,-0.00011317634,6.1269064e-05,-7.903218e-05,-0.00657594,0.013872534,0.010420229,-0.005503717,0.0011348226,0.054487314,-0.00031556352,0.0631247,0.27915025
0.6337817,-1.0613654,-0.034753397,1.4476861,2.3099537,132.35059,1.885871e-05,-6.286356e-05,3.1251642e-05,0.09123183,1.5655841,-1.7128776,-0.013806566,0.0048935506,0.013677222,-0.00011433211,2.6047084e-05,-6.791141e-05,-0.021436127,0.01967384,-0.0119117405,-0.014258733,-0.012806268,0.019836752,-0.01667137,0.06303075,0.24215703
