episode,env,total_reward,length
0,0,-263803.3336298466,399
1,1,-83777.47897434235,399
2,2,-55487.803939938545,399
3,3,-147011.75554442406,399
4,4,-171143.94018942118,399
5,5,-36924.87207376957,399
6,6,-31892.71887922287,399
7,7,-250086.4963105917,399
8,8,-223541.23028731346,399
9,9,-242969.32991296053,399
10,10,-189901.53229922056,399
11,11,-37343.067276358604,399
12,12,-37585.29009139538,399
13,13,-188284.6122597456,399
14,14,-257558.65537810326,399
15,15,-58146.0981118083,399
16,0,-212405.25077044964,399
17,1,-192789.75759969652,399
18,2,-143752.6982946396,399
19,3,-179926.77575206757,399
20,4,-189948.27379703522,399
21,5,-44201.32780212909,399
22,6,-264414.9236109257,399
23,7,-33239.2325296402,399
24,8,-141949.773979187,399
25,9,-162948.20244669914,399
26,10,-175545.02139409631,399
27,11,-279298.2688553333,399
28,12,-83418.03975191712,399
29,13,-264363.0638027191,399
30,14,-130815.68140745163,399
31,15,-231367.99703794718,399
32,0,-88755.7330121994,399
33,1,-193721.35851049423,399
34,2,-105524.57549804449,399
35,3,-37871.460708618164,399
36,4,-82735.58613061905,399
37,5,-66694.95601925254,399
38,6,-124655.46305942535,399
39,7,-58107.143717586994,399
40,8,-171447.09985125065,399
41,9,-205673.56415176392,399
42,10,-197673.19408893585,399
43,11,-36084.44539642334,399
44,12,-184755.91281306744,399
45,13,-55035.20116317272,399
46,14,-216013.59780067205,399
47,15,-211935.30316197872,399
48,0,-59497.82563204318,399
49,1,-228928.4451599121,399
